Donor,Recipient,Ordinal,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,Grand Total,Percentage
UNFPA,Global and Regional,1,46.80,0.85,0.00,30.08,77.73,12.7%
UNFPA,India,2,3.94,0.72,0.00,21.78,26.44,4.3%
UNFPA,Pakistan,3,8.01,0.53,0.00,11.35,19.89,3.3%
UNFPA,Democratic Republic of the Congo,4,4.81,0.00,0.00,10.08,14.89,2.4%
UNFPA,Uganda,5,5.79,0.88,0.00,5.98,12.65,2.1%
UNFPA,Nigeria,6,4.88,1.04,0.00,6.73,12.65,2.1%
UNFPA,Bangladesh,7,4.33,0.00,0.00,8.23,12.56,2.1%
UNFPA,Afghanistan,8,1.84,0.00,0.00,9.94,11.78,1.9%
UNFPA,All others,9,189.39,20.45,0.00,212.14,421.98,69.1%
UNICEF,Global and Regional,1,0.75,1.72,2.59,0.19,5.24,1.4%
